tr_code_2015,date,Visitors (thousands),Visitor nights (thousands),Regional expenditure ($ millions)
1R040,2015-07-01,3413.428,73130.371,8208.319
2R010,2015-07-01,2439.75,51883.411,6284.257
3R020,2015-07-01,1169.123,24013.202,1925.713
5R120,2015-07-01,840.333,21633,1921.563
3R010,2015-07-01,984.474,10166.849,1266.222
4R040,2015-07-01,383.518,7972.916,817.81
3R120,2015-07-01,859.564,6521.811,1084.692
8R990,2015-07-01,203.095,4981.632,420.478
3R030,2015-07-01,265.595,2819.762,246.329
1R100,2015-07-01,152.544,2674.448,174.757
1R010,2015-07-01,133.646,2305.477,210.423
7R010,2015-07-01,122.788,2327.811,148.044
6R100,2015-07-01,192.192,1932.651,226.028
5R140,2015-07-01,175.702,2475.074,184.692
5R160,2015-07-01,71.53,1859.638,70.599
3R100,2015-07-01,221.993,1448.536,214.259
3R060,2015-07-01,40.262,1214.035,48.531
3R110,2015-07-01,122.979,1850.376,108.542
3R080,2015-07-01,107.689,1242.787,66.613
3R070,2015-07-01,39.463,1177.823,38.661
2R070,2015-07-01,58.097,882.133,61.543
6R110,2015-07-01,88.461,795.569,64.764
1R140,2015-07-01,32.009,1060.085,46.143
5R170,2015-07-01,77.543,958.055,104.031
1R180,2015-07-01,53.074,841.213,48.654
1R080,2015-07-01,27.735,608.328,33.026
2R130,2015-07-01,40.552,705.679,27.848
5R130,2015-07-01,53.302,774.477,38.746
1R190,2015-07-01,106.177,483.377,61.597
2R030,2015-07-01,25.75,846.46,28.943
2R090,2015-07-01,20.658,392.149,np
3R040,2015-07-01,132.119,596.6,37.752
2R100,2015-07-01,27.184,260.471,np
1R060,2015-07-01,27.079,536.706,np
7R070,2015-07-01,112.043,571.485,58.678
2R120,2015-07-01,44.175,424.256,26.962
3R140,2015-07-01,25.827,416.439,np
6R060,2015-07-01,50.642,472.058,46.312
2R170,2015-07-01,27.779,348.234,np
1R090,2015-07-01,41.273,905.507,45.128
7R150,2015-07-01,152.728,437.559,183.199
3R090,2015-07-01,41.901,497.368,np
1R050,2015-07-01,21.392,298.754,np
4R010,2015-07-01,45.735,207.722,np
1R070,2015-07-01,20.873,302.466,np
4R070,2015-07-01,37.904,232.256,np
7R110,2015-07-01,29.443,206.185,np
1R040,2016-07-01,3746.544,77706.614,9033.752
2R010,2016-07-01,2617.589,59216.439,6954.951
3R020,2016-07-01,1214.891,26159.997,2164.491
5R120,2016-07-01,921.453,22525.999,2135.199
3R010,2016-07-01,1055.653,9979.161,1210.254
4R040,2016-07-01,388.834,8972.241,927.44
3R120,2016-07-01,898.083,6750.698,1080.766
8R990,2016-07-01,221.479,4583.584,535.412
3R030,2016-07-01,296.331,3039.474,249.593
1R100,2016-07-01,186.255,3038.565,220.863
1R010,2016-07-01,174.351,2752.271,272.28
7R010,2016-07-01,138.221,2410.698,161.851
6R100,2016-07-01,217.735,2188.507,266.947
5R140,2016-07-01,171.734,2147.606,162.509
5R160,2016-07-01,68.9,1711.625,81.099
3R100,2016-07-01,241.241,1371.188,195.764
3R060,2016-07-01,46.272,1336.758,57.115
3R110,2016-07-01,132.191,1256.495,105.843
3R080,2016-07-01,119.589,1250.758,45.717
3R070,2016-07-01,42.19,1212.475,52.939
2R070,2016-07-01,61.241,1141.635,65.027
6R110,2016-07-01,100.505,1072.184,111.818
1R140,2016-07-01,40.743,1060.65,65.902
5R170,2016-07-01,87.599,973.616,94.79
1R180,2016-07-01,50.021,911.725,63.975
1R080,2016-07-01,28.634,846.897,41.95
2R130,2016-07-01,46.528,824.837,49.553
5R130,2016-07-01,53.049,706.66,30.842
1R190,2016-07-01,111.615,684.277,66.068
2R030,2016-07-01,25.561,669.359,24.514
2R090,2016-07-01,21.399,658.59,44.529
3R040,2016-07-01,148.487,651.967,36.32
2R100,2016-07-01,34.592,620.853,31.186
1R060,2016-07-01,34.648,581.512,32.833
7R070,2016-07-01,121.273,537.53,73.246
2R120,2016-07-01,46.827,528.649,np
3R140,2016-07-01,26.151,471.011,np
6R060,2016-07-01,63.932,468.098,34.144
2R170,2016-07-01,30.454,445.363,35.716
1R090,2016-07-01,38.152,440.025,24.735
7R150,2016-07-01,166.957,437.962,177.617
3R090,2016-07-01,44.989,431.449,np
1R050,2016-07-01,18.078,431.241,25.13
4R010,2016-07-01,45.664,356.302,np
1R070,2016-07-01,26.567,323.564,np
4R070,2016-07-01,40.953,263.312,np
7R110,2016-07-01,43.853,241.034,np