ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Employment,Education,Other purpose,In transit,Total
New South Wales,2015-07-01,2139.803,982.499,381.878,105.617,187.772,15.226,129.025,3648.586
Victoria,2015-07-01,1402.737,845.2,267.797,67.904,148.379,17.746,60.561,2564.712
Queensland,2015-07-01,1718.042,584.322,158.805,63.882,99.855,np,66.787,2480.547
South Australia,2015-07-01,233.672,130.994,37.97,13.524,24.418,np,7.069,421.872
Western Australia,2015-07-01,421.535,382.801,99.36,52.911,44.153,np,35.348,887.973
Tasmania,2015-07-01,177.055,33.224,13.168,np,7.374,np,np,224.011
Northern Territory,2015-07-01,238.11,15.951,8.653,16.622,np,np,6.315,279.518
Australian Capital Territory,2015-07-01,92.64,57.99,27.654,np,18.053,np,np,203.095
New South Wales,2016-07-01,2362.099,1044.342,425.349,114.599,226.668,22.402,136.959,4008.479
Victoria,2016-07-01,1517.221,874.649,295.053,71.272,180.124,26.566,54.384,2761.489
Queensland,2016-07-01,1830.634,617.755,169.985,58.27,113.749,16.512,60.761,2618.516
South Australia,2016-07-01,248.978,128.784,43.615,17.169,24.37,np,np,435.087
Western Australia,2016-07-01,482.424,405.31,101.291,42.879,51.275,np,32.447,965.863
Tasmania,2016-07-01,200.458,39.304,14.825,np,5.242,np,np,253.163
Northern Territory,2016-07-01,258.523,19.526,13.046,11.806,np,np,7.021,302.431
Australian Capital Territory,2016-07-01,106.109,61.304,28.423,np,17.874,np,np,221.479