State,StateName,lga_code_2016,lga_name_2016,Hotel or similar (nights '000),Home of friend or relative (nights '000),Commercial camping/caravan park (nights '000),Backpacker (nights '000),Other (nights '000)
1,NSW,10050,Albury (C),399.9885,512.8825,,,137.61375
1,NSW,10130,Armidale Regional (A),174.5195,338.15775,,,314.4395
1,NSW,10250,Ballina (A),200.44625,595.216,221.6305,,220.5115
1,NSW,10470,Bathurst Regional (A),211.0695,414.13675,,,215.33875
1,NSW,10550,Bega Valley (A),312.613,473.65925,793.62225,,661.91425
1,NSW,10600,Bellingen (A),,,,,
1,NSW,10650,Berrigan (A),,,,,
1,NSW,10900,Blue Mountains (C),496.40075,606.4855,,,747.64375
1,NSW,11250,Broken Hill (C),163.70825,,,,117.89125
1,NSW,11350,Byron (A),524.61625,930.90125,535.8705,,1334.50175
1,NSW,11650,Central Coast (C) (NSW),624.877,2159.8865,368.1025,,1092.298
1,NSW,11720,Cessnock (C),464.34425,205.6645,,,256.7875
1,NSW,11730,Clarence Valley (A),218.97025,668.78525,465.79,,540.75175
1,NSW,11800,Coffs Harbour (C),831.96875,885.49775,534.6555,,681.1775
1,NSW,12350,Cowra (A),,,,,
1,NSW,12750,Eurobodalla (A),283.93325,750.28675,612.40125,,878.6295
1,NSW,12870,Federation (A),,,,,
1,NSW,13010,Glen Innes Severn (A),,,,,
1,NSW,13310,Goulburn Mulwaree (A),169.5955,,,,146.11
1,NSW,13450,Griffith (C),,215.482,,,
1,NSW,13510,Gundagai (A),,,,,
1,NSW,13800,Hawkesbury (C),,286.44725,,,232.766
1,NSW,13910,Hilltops (A),,,,,165.9415
1,NSW,14200,Inverell (A),,,,,
1,NSW,14350,Kempsey (A),,,391.6035,,458.38875
1,NSW,14400,Kiama (A),121.48025,274.969,184.7365,,231.45225
1,NSW,14650,Lake Macquarie (C),,552.63375,,,225.3985
1,NSW,14850,Lismore (C),,342.0735,,,
1,NSW,14870,Lithgow (C),,,,,
1,NSW,15050,Maitland (C),,241.99275,,,
1,NSW,15240,Mid-Coast (A),406.2195,1085.2695,807.90925,,1273.64275
1,NSW,15270,Mid-Western Regional (A),,268.3855,,,
1,NSW,15300,Moree Plains (A),,,,,
1,NSW,15520,Murray River (A),,,,,
1,NSW,15700,Nambucca (A),,,,,
1,NSW,15750,Narrabri (A),,,,,
1,NSW,15900,Newcastle (C),804.4305,1895.6035,81.8015,,1393.61075
1,NSW,16150,Orange (C),224.53925,362.29625,,,326.37475
1,NSW,16200,Parkes (A),,,,,
1,NSW,16380,Port Macquarie-Hastings (A),722.2925,871.85375,284.46025,,689.179
1,NSW,16400,Port Stephens (A),528.03375,543.13175,420.0475,,791.56175
1,NSW,16490,Queanbeyan-Palerang Regional (A),,411.15325,,,
1,NSW,16610,Richmond Valley (A),,,,,
1,NSW,16900,Shellharbour (C),,,,,
1,NSW,16950,Shoalhaven (C),312.7205,1367.00575,943.79725,,1455.703
1,NSW,17000,Singleton (A),65.76675,,,,
1,NSW,17040,Snowy Monaro Regional (A),662.3635,363.86825,260.88275,,997.497
1,NSW,17080,Snowy Valleys (A),,,,,
1,NSW,17310,Tamworth Regional (A),306.93525,623.6595,,,392.04475
1,NSW,17550,Tweed (A),491.29775,789.96225,476.9255,,466.9905
1,NSW,17620,Upper Hunter Shire (A),,,,,
1,NSW,17750,Wagga Wagga (C),357.509,630.8615,,,430.78725
1,NSW,18020,Warrumbungle Shire (A),,,,,
1,NSW,18230,Western Plains Regional (A),423.2215,468.14775,,,267.722
1,NSW,18350,Wingecarribee (A),212.57775,429.824,,,307.9685
1,NSW,18450,Wollongong (C),389.38225,1161.5685,182.139,,1279.696
1,NSW,18710,Yass Valley (A),,,,,
2,VIC,20110,Alpine (S),161.712,,,,
2,VIC,20570,Ballarat (C),326.093,720.3085,122.156,,249.08375
2,VIC,20740,Bass Coast (S),280.94125,715.3915,429.80575,,1012.68475
2,VIC,20830,Baw Baw (S),,215.42775,,,
2,VIC,21010,Benalla (RC),,,,,
2,VIC,21370,Campaspe (S),280.27625,359.6365,,,378.44025
2,VIC,21450,Cardinia (S),,425.566,,,
2,VIC,21750,Colac-Otway (S),197.54075,227.57525,231.8345,,418.4895
2,VIC,21830,Corangamite (S),72.2915,,,,
2,VIC,22110,East Gippsland (S),433.33825,499.90675,504.09425,,743.66625
2,VIC,22170,Frankston (C),,462.7145,,,
2,VIC,22410,Glenelg (S),92.54925,,109.51375,,141.27075
2,VIC,22620,Greater Bendigo (C),342.57775,793.30175,,,284.50075
2,VIC,22750,Greater Geelong (C),356.575,1632.2025,456.89875,,828.95875
2,VIC,22830,Greater Shepparton (C),175.38825,379.6205,103.4785,,236.91225
2,VIC,22910,Hepburn (S),,,,,
2,VIC,23190,Horsham (RC),,,,,
2,VIC,23350,Indigo (S),,,,,
2,VIC,23810,Latrobe (C) (Vic.),,286.321,,,
2,VIC,24130,Macedon Ranges (S),,274.46725,,,
2,VIC,24250,Mansfield (S),,,,,
2,VIC,24780,Mildura (RC),376.256,460.50075,267.31625,,514.08625
2,VIC,24850,Mitchell (S),,,,,
2,VIC,24900,Moira (S),,295.994,,,
2,VIC,25340,Mornington Peninsula (S),312.07775,1580.2005,273.446,,1765.5045
2,VIC,25430,Mount Alexander (S),,,,,
2,VIC,25490,Moyne (S),85.72175,,138.371,,180.3685
2,VIC,25620,Murrindindi (S),59.642,,,,246.98475
2,VIC,25710,Nillumbik (S),,250.28825,,,
2,VIC,25810,Northern Grampians (S),109.23675,,170.114,,224.10475
2,VIC,26080,Queenscliffe (B),,,,,
2,VIC,26170,South Gippsland (S),38.7065,348.1835,190.20975,,479.1675
2,VIC,26260,Southern Grampians (S),,,,,
2,VIC,26430,Strathbogie (S),,,,,
2,VIC,26490,Surf Coast (S),387.6165,683.2925,297.80125,,976.22575
2,VIC,26610,Swan Hill (RC),,,,,179.41925
2,VIC,26700,Wangaratta (RC),,,,,
2,VIC,26730,Warrnambool (C),233.3495,345.5575,234.98925,,354.45625
2,VIC,26810,Wellington (S),115.06775,387.04175,,,413.0445
2,VIC,27170,Wodonga (C),,,,,
2,VIC,27450,Yarra Ranges (S),183.48025,617.59275,,,301.119
3,QLD,30370,Banana (S),,,,,161.37375
3,QLD,31820,Bundaberg (R),301.58475,798.2535,262.3745,,738.82625
3,QLD,31900,Burdekin (S),,,,,
3,QLD,32080,Cairns (R),3769.93275,1837.3,315.65325,,2032.789
3,QLD,32260,Cassowary Coast (R),114.613,232.40925,209.11975,,305.29525
3,QLD,32270,Central Highlands (R) (Qld),327.0905,238.9505,181.8135,,618.67675
3,QLD,32310,Charters Towers (R),,,85.493,,158.626
3,QLD,32500,Cook (S),94.2485,,125.0465,,182.7975
3,QLD,32810,Douglas (S),1136.9335,201.89,,,650.325
3,QLD,33220,Fraser Coast (R),572.78725,1007.4235,372.84675,,809.833
3,QLD,33360,Gladstone (R),355.212,563.6905,201.661,,1312.733
3,QLD,33430,Gold Coast (C),7462.652,5579.0265,601.4005,,7067.9645
3,QLD,33610,Goondiwindi (R),,,,,
3,QLD,33620,Gympie (R),106.91425,406.45825,216.21575,,618.5275
3,QLD,33800,Hinchinbrook (S),,,,,
3,QLD,33960,Ipswich (C),,1028.2015,,,
3,QLD,33980,Isaac (R),,,,,1215.88125
3,QLD,34530,Livingstone (S),102.6165,266.974,182.5345,,171.09175
3,QLD,34590,Logan (C),,1258.7595,,,
3,QLD,34770,Mackay (R),388.07825,911.62175,155.4755,,475.15725
3,QLD,34860,Maranoa (R),143.89975,,,,728.248
3,QLD,34880,Mareeba (S),,150.026,,,266.97625
3,QLD,35300,Mount Isa (C),146.50875,,,,237.98775
3,QLD,35740,Noosa (S),1239.87325,804.4235,259.3845,,1437.61925
3,QLD,36370,Rockhampton (R),424.43925,706.22275,103.105,,361.721
3,QLD,36510,Scenic Rim (R),106.38375,204.49325,,,352.7685
3,QLD,36580,Somerset (R),,,,,
3,QLD,36630,South Burnett (R),,,,,
3,QLD,36660,Southern Downs (R),,353.3765,,,522.0965
3,QLD,36720,Sunshine Coast (R),1892.804,3309.8785,676.63375,,2712.278
3,QLD,36820,Tablelands (R),66.928,165.9585,76.1635,,185.27625
3,QLD,36910,Toowoomba (R),419.155,1478.12875,,,720.12075
3,QLD,37010,Townsville (C),993.81575,1887.24875,206.0415,,1203.33375
3,QLD,37310,Western Downs (R),,391.6165,,,712.941
3,QLD,37340,Whitsunday (R),1162.046,416.05625,248.2315,,1240.76125
4,SA,40120,Adelaide Hills (DC),,148.06475,,,
4,SA,40220,Alexandrina (DC),,242.87225,,,
4,SA,40310,Barossa (DC),128.7545,,,,126.553
4,SA,40520,Berri and Barmera (DC),,,,,
4,SA,41010,Ceduna (DC),,,43.32225,,
4,SA,41140,Clare and Gilbert Valleys (DC),,,,,
4,SA,41330,Coober Pedy (DC),85.339,,72.6985,,
4,SA,41560,Copper Coast (DC),,,,,
4,SA,41830,Flinders Ranges (DC),,,65.4155,,87.1535
4,SA,42750,Kangaroo Island (DC),113.1475,,,,265.026
4,SA,43790,Loxton Waikerie (DC),,,,,
4,SA,44210,Mid Murray (DC),,,,,
4,SA,44550,Mount Barker (DC),,196.3175,,,
4,SA,44620,Mount Gambier (C),159.628,217.5575,78.1435,,
4,SA,45040,Murray Bridge (RC),,,,,
4,SA,46090,Port Augusta (C),98.57925,,81.94575,,66.177
4,SA,46300,Port Lincoln (C),131.208,,59.024,,91.4185
4,SA,46450,Port Pirie City and Dists (M),,,,,
4,SA,46670,Renmark Paringa (DC),,,,,
4,SA,46860,Robe (DC),41.736,,77.50475,,120.00575
4,SA,48050,Victor Harbor (C),130.40775,,124.60925,,190.619
4,SA,48340,Wattle Range (DC),,,,,
4,SA,48540,Whyalla (C),,,,,
4,SA,48750,Yankalilla (DC),,,,,
4,SA,48830,Yorke Peninsula (DC),,,,,
5,WA,50080,Albany (C),292.295,560.2415,238.101,,436.5225
5,WA,50250,Ashburton (S),,,,,2289.18025
5,WA,50280,Augusta-Margaret River (S),356.457,377.014,384.4235,,941.47725
5,WA,50980,Broome (S),570.138,347.2835,180.46975,,431.75275
5,WA,51190,Bunbury (C),208.9395,607.19625,49.817,,207.157
5,WA,51260,Busselton (C),679.73025,812.74975,519.641,,1113.6545
5,WA,51540,Carnarvon (S),111.66625,,449.48875,,299.04675
5,WA,52590,Dandaragan (S),,,145.77675,,169.1955
5,WA,52730,Denmark (S),,,122.90075,,186.841
5,WA,52800,Derby-West Kimberley (S),,,,,433.2425
5,WA,53080,Dundas (S),,,,,105.6745
5,WA,53220,East Pilbara (S),,,,,1854.59125
5,WA,53290,Esperance (S),153.73875,197.10675,194.949,,319.07825
5,WA,53360,Exmouth (S),,,244.8775,,423.823
5,WA,53570,Gingin (S),,,110.9145,,223.3285
5,WA,53800,Greater Geraldton (C),219.23925,399.8345,98.2835,,296.873
5,WA,53920,Halls Creek (S),,,,,
5,WA,53990,Harvey (S),,,,,
5,WA,54060,Irwin (S),,,80.16475,,
5,WA,54280,Kalgoorlie/Boulder (C),298.6765,297.046,,,391.20575
5,WA,54310,Karratha (C),157.0965,170.63775,,,1348.81425
5,WA,54620,Kondinin (S),,,,,
5,WA,55110,Mandurah (C),178.9115,914.6105,,,407.857
5,WA,55180,Manjimup (S),88.4315,143.016,148.1745,,350.92675
5,WA,56230,Murray (S),,,,,
5,WA,56790,Northampton (S),131.99325,,230.7715,,325.6125
5,WA,57280,Port Hedland (T),159.95725,,,,911.169
5,WA,57770,Shark Bay (S),,,130.61275,,135.206
5,WA,59340,Wyndham-East Kimberley (S),119.13825,,128.90625,,248.17875
6,TAS,60210,Break O'Day (M),69.689,,54.6515,,185.80425
6,TAS,60610,Burnie (C),91.921,,,,
6,TAS,60810,Central Coast (M) (Tas.),,,,,
6,TAS,61010,Central Highlands (M) (Tas.),,,,,
6,TAS,61210,Circular Head (M),53.7905,,,,
6,TAS,61610,Devonport (C),111.35325,198.47625,,,196.861
6,TAS,61810,Dorset (M),,,,,
6,TAS,62410,Glamorgan/Spring Bay (M),126.3385,,118.99075,,390.55825
6,TAS,63010,Huon Valley (M),,,,,148.0085
6,TAS,63210,Kentish (M),152.4885,,59.29525,,163.279
6,TAS,63610,Kingborough (M),,,,,124.603
6,TAS,64010,Launceston (C),652.23275,624.2525,,,479.53575
6,TAS,64210,Meander Valley (M),,,,,
6,TAS,64610,Northern Midlands (M),,,,,
6,TAS,65210,Tasman (M),65.12125,,63.183,,120.1015
6,TAS,65410,Waratah/Wynyard (M),,,,,
6,TAS,65610,West Coast (M),134.40325,,77.66375,,135.6685
6,TAS,65810,West Tamar (M),,,,,
7,NT,70200,Alice Springs (T),608.8945,287.95375,185.48775,,401.82025
7,NT,70420,Barkly (R),58.354,,53.36425,,115.77925
7,NT,70700,Coomalie (S),,,,,62.2655
7,NT,72200,Katherine (T),115.28625,,87.2695,,115.74675
7,NT,72330,MacDonnell (R),420.6945,,203.6895,,319.9785
7,NT,73600,Roper Gulf (R),44.466,,81.88775,,183.186
7,NT,74550,Victoria Daly (R),,,78.70475,,79.8595
7,NT,74660,West Arnhem (R),155.74575,,111.14875,,253.98075