Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRM_Code,NRM name
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",91352369.18,,82217132.26,,"Nurseries, cut flowers or cultivated turf",Undercover,1,New South Wales
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",19317304.77,^,17385574.29,^,"Nurseries, cut flowers or cultivated turf",Undercover,1,New South Wales
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",93495986.1,^,84146387.49,^,"Nurseries, cut flowers or cultivated turf",Undercover,2,Victoria
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",62801766.77,^,56521590.09,^,"Nurseries, cut flowers or cultivated turf",Undercover,2,Victoria
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",49955701.38,^,44960131.24,^,"Nurseries, cut flowers or cultivated turf",Undercover,3,Queensland
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",12086332.63,^,10877699.37,^,"Nurseries, cut flowers or cultivated turf",Undercover,3,Queensland
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",16922099.49,^,15229889.54,^,"Nurseries, cut flowers or cultivated turf",Undercover,4,South Australia
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",923237.79,^,830914.01,^,"Nurseries, cut flowers or cultivated turf",Undercover,4,South Australia
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",np,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,5,Western Australia
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",np,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,5,Western Australia
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1388637.54,^,1249773.79,^,"Nurseries, cut flowers or cultivated turf",Undercover,6,Tasmania
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",np,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,6,Tasmania
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1870714.41,,1683642.97,,"Nurseries, cut flowers or cultivated turf",Undercover,7,Northern Territory
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",18833.9,,16950.51,,"Nurseries, cut flowers or cultivated turf",Undercover,7,Northern Territory
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",np,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,8,Australian Capital Territory